,Baseline,Calibration,Regression
B1146,0.7470709137255688,0.6298110744081985,0.6495162160075896
B1150,0.8769622926479678,0.7936668281196673,0.8206011272193283
B1153,0.802383500323621,0.6552879211923539,0.6821098161327006
B1168,0.7363922883809583,0.4867788885680378,0.5749102101062884
B1016,0.641344393013345,0.2765604407362446,0.284356090760498
B1139,0.9103168088833896,0.5459569144566844,0.5387925983506501
B1003,0.7389053064200405,0.4225259350914603,0.5007059495508667
B1063,0.8515790545840055,0.3744142772195742,0.4369538019443637
B1064,1.4803071897976572,1.2870869263832732,1.3192355797545254
B1296,1.38432460671603,0.7928900845408914,0.8119180483853259
B1053,0.7026247783031891,0.108180073568082,0.1240747263650873
B1055,0.7749901805136533,0.0853089047343907,0.1524084386537338
B1052,0.6704294256062043,0.2530339578595486,0.2629670989284095
B1050,0.9733249865591056,0.7503625163576995,0.7036640824970347
B1005,0.8629941823620362,0.1481017082425306,0.1497700631250275
B1008,1.8811680867744704,2.272181088421376,1.7974570116524349
B1126,0.7387304812206328,0.1146682912608606,0.1100461115270482
B1135,0.821220306921176,0.1581837508161483,0.1685939158958684
B1087,0.7939998611974673,0.469343262154428,0.5130398759861776
B1103,1.103025452529662,0.2976321761159414,0.2741442187773158
B1099,0.7647205167517505,0.1311644416772961,0.1129727814553675
B1115,0.8003093261657727,0.1084959355274367,0.1097698959753879
B1114,0.6690702444129805,0.1193572660725413,0.1242039165671103
B1142,0.7136794754905934,0.3269468457389253,0.3447696663358757
B1102,0.8076418616638216,0.185603425254581,0.1885056264440809
B1104,0.7295617948106841,0.1296680617583465,0.1312543078857337
B1105,0.780365932831605,0.1016675868974769,0.102756764515507
B1107,0.7466497277477516,0.2157055574381111,0.2015098429386204
B1108,1.111982282334908,0.3201543510364262,0.3290575825145513
B1109,0.912141306672589,0.2024655157323642,0.2017003962447565
B1138,0.6464716571970749,0.2003971396120464,0.2057327865634916
B1081,1.074249163661318,0.5141762231015511,0.537801019153422
B1047,0.8443960989976883,0.087423130164796,0.0978940473719386
B1286,1.1602297869413118,0.8172121643966536,0.8313528187235935
B1026,0.7464703603397856,0.4434602590250764,0.4487286741543219
