,Baseline,Calibration,Regression
B1146,3.4894334156453435,0.4669319430377799,0.3487788420381892
B1150,3.388773924002233,0.4007128323097668,0.3433390079906249
B1153,3.5428360378517016,0.3835368313032314,0.2083338891395124
B1168,1.148774917911823,0.1345150638281949,0.2618009406570286
B1016,1.7455396788385176,0.2776186923754282,0.18445487497513
B1139,0.4301746739061019,0.0297296191805655,0.0543209525393855
B1003,0.4306947372134901,0.1547411518882387,0.3244274214716681
B1063,1.2406715008379818,0.0780826841198834,0.2203628905345998
B1064,1.6349568438189588,0.1625156025752715,0.2730594962696872
B1296,2.244974554578084,0.1434007953258372,0.3128763192512403
B1053,0.3491786688660082,0.1100783723956005,0.0888877064443553
B1055,0.8040928460885203,0.3986669003329838,0.4023892781489004
B1052,1.2347250098627098,0.0705002104658824,0.0742591184199041
B1050,0.7096814813952944,0.0843943807001305,0.187589917975655
B1005,0.3509445614799601,1.062540670198051,0.9544440065004018
B1008,0.3690986971260097,0.1036001137382945,0.2160449059500951
B1126,0.3449100946188982,0.0397054640432514,0.0857865334426574
B1135,1.5919466388308916,0.1271282145658734,0.316757998863315
B1087,1.2676316257384663,4.199234877176514,3.39803560159251
B1103,0.7590446168842888,0.0290275456008185,0.1094161501038684
B1099,0.7298366067062932,0.5785350795909293,0.4240264698729925
B1115,0.4675216324294906,0.0754223290127561,0.2150204402201841
B1114,0.7402714551832957,1.0899045553622329,0.3654833883304424
B1142,0.3530919693368258,0.0642204301229001,0.0668684873546243
B1102,0.6190786801100067,0.0353281632284726,0.0521828821022865
B1104,0.4732081086004926,1.002675935780781,1.0026651424071722
B1105,0.4278810295925203,0.0574515057562662,0.058041941463527
B1107,0.4404859323898312,0.0829580232434584,0.1543355359347159
B1108,4.843138560351242,1.0548384056617122,1.054885009670206
B1109,0.5707397607785283,0.4538108083347446,0.3780592072624636
B1138,3.486594781106702,1.1173491134189222,1.117196203826818
B1081,2.7407914742504307,0.1569875404358274,0.223222153347087
B1047,0.6085919843451276,0.0201813132901166,0.2348356477107425
B1286,2.438076470775781,0.1837761263382761,0.1448492253299949
B1026,0.83036325171082,0.0897850949696237,0.141465791417418
