,Baseline,Calibration,Regression
B1146,0.2157515132580657,7.438297725701263e-07,0.0325546970490979
B1150,0.137527273521023,7.481956201894364e-07,0.0152591400901089
B1153,0.2150929667394364,8.913748667946141e-07,0.0489892874277053
B1168,0.1246078311788843,1.4766487305564062e-07,0.1071331474899961
B1016,0.5033005622117845,0.0002119948139773,0.0123183532536918
B1139,0.710664403754436,4.836481036227696e-10,0.0127928923674707
B1003,0.1138043487591092,0.0116885714210606,0.1112713307502455
B1063,0.0311699997044715,0.0028825092050481,0.0925444910463069
B1064,0.5763659828290922,2.599262377770796e-07,0.0086224474656984
B1296,0.444937202550655,1.3210725058287822e-06,0.1070732336573608
B1053,0.6108917003750687,5.003019681615904e-10,0.0155907624343027
B1055,0.7307472521428445,1.7721291165100052e-09,0.0654859894683774
B1052,0.4920192439984467,3.091583147775645e-07,0.004548967649237
B1050,0.4159346491594957,0.0319488607807189,0.1229567826419021
B1005,0.8422251312736678,0.0009949182335165,4.700605850594374e-05
B1008,0.9636630386802596,1.6568634686974342,1.283887495464935
B1126,0.7131996221461883,4.5210225433146015e-09,0.0053731737436167
B1135,0.795741668819773,1.7775670602452437e-07,0.0101949399775095
B1087,0.5264454307135218,1.8410761953517865e-08,0.0863321719822122
B1103,0.1168484415893264,0.0756176450772411,0.033799783562402
B1099,0.7088875131010619,6.476771983790885e-09,0.0143366196352276
B1115,0.7510326827308451,5.360195560150382e-09,0.0014091796063474
B1114,0.586329295489654,1.0786245812374228e-10,0.035120475097214
B1142,0.5511046309775403,5.360291301652231e-07,0.0030165674084385
B1102,0.7706309935642423,3.141096061277688e-08,0.0036721048119742
B1104,0.6562232516221757,1.7438892332426448e-08,1.021767980656434e-05
B1105,0.7539260384356051,8.246845596656849e-10,0.0059221293238687
B1107,0.6835308031985,2.8314064583727063e-08,0.0222444971723325
B1108,0.0785408685797088,0.0462687684832959,0.053179822751046
B1109,0.885986299405251,1.6714830251986094e-09,0.0082698360310909
B1138,0.3603108588507575,3.702503807633453e-08,0.0210815134315882
B1081,0.2988555707506453,8.662921456138423e-07,0.0656391096664063
B1047,0.8341203754192208,5.40415454513431e-08,0.0248504021367709
B1286,0.402662788433863,0.0295662489940041,0.001148660843113
B1026,0.4766077585588189,3.075374269477769e-07,0.0085777914627522
