,base_load_kWh,appliances_kWh_per_person,cooling_correlation_kWh_per_kWh,lighting_logistic_peak_kWh,weekend_multiplier,lighting_logistic_k,lighting_logistic_start_time_h,lighting_logistic_end_time_h,RSS_10_mean,NMBE_10_mean,CV(RMSE)_10_mean
B1115,151.85913033441582,0.01094506569848932,0.06251954450595312,36.88499743581502,0.9999999999999999,0.8556040059509675,8.14546768841187,19.521542414479384,12818240.431283716,-0.0013899765191635208,0.20665569445381324
B1126,243.52236257210802,0.23620316240860117,3.949046024430243e-34,51.27743119343214,0.6022268266316387,16.11031311596108,6.076336777436889,18.98373396256359,8800919.034051003,-4.672412590927687e-06,0.10781364543062393
B1134,638.0655174787348,0.08991715011948624,7.21677202453325e-33,126.13418693806459,0.5831320701467455,1.4387024322418078,6.974209803025818,20.5998433562381,11154142.578952167,1.9941789719565113e-05,0.05013373478742633
B1135,37.4749818257846,0.07448649690477607,1.3791725243475215e-36,1.137901152734046,5.417007819373579e-35,9.466226419996982,5.4876504584881,16.000000000000004,1196798.9596379744,0.0004425940185037639,0.2800295760589361
B1138,19.55703405799331,0.04335511846141351,0.053445935320475445,30.86165740413475,0.6927048992672484,4.151001548642391,6.741296031055384,21.032401150884105,1142951.548799846,-0.0013911317693113593,0.23601947032169351
B1139,630.6089736694792,0.21917674240526688,2.7898963535185133e-28,187.63440796258683,0.8281618046810612,0.8724438168257456,7.164988880899406,19.423234194113174,10705463.812451776,3.800811798444985e-05,0.05245359893872499
B1142,142.14719193225596,0.0708897693489388,0.030570081213489413,56.267678864464536,0.6661100323744217,0.7555117601174344,7.5633276819253386,19.367355127247063,815615.7254797837,0.00014327563807166798,0.05667670771281447
B1146,26.5768999384691,0.03898433182748018,0.03743975259692991,21.14169730557472,0.8501316661501801,0.6505026316620167,8.248175202148847,19.480020268267456,708502.7264446606,0.0012742165450547393,0.19777189919926383
B1150,14.330643387272978,0.14250409309864212,0.03482115935184284,10.951622625002178,0.8583231627788808,20.316834062536138,6.014716780497146,21.001377418213366,760389.5298394872,0.0007938931567850425,0.26167142901006046
B1153,25.64337763885937,0.06373575005245771,0.059608703030257656,10.117686443607825,0.9999999999999999,1.0741918299207098,7.794181234774943,17.593004760087688,138391.08129672933,0.0004917007012908879,0.09819787473411008
B1168,36.53465481059747,0.16999018545416095,0.15109971868816627,35.01873337111778,0.9999999999992955,0.7097021232547714,7.9313859876988655,16.64098185607046,884071.603840263,-0.0003910126038334084,0.14610619120488186
B1286,19.794465801064263,0.0599609203915308,0.050784453465310145,11.234225969332488,0.7519692176728773,3.1390779668362216,6.831709086344695,21.2411230709885,222888.2454720928,-0.0011998142044900215,0.17493837772372672
B1296,12.797541949673956,0.024905641686319615,0.07736904676980455,7.560960745965424,0.9999999999999999,2.204680867933223,7.032128962883809,20.51116256101839,149984.1938273084,-0.0021829167947930036,0.2657166878638388
