,base_load_kWh,appliances_kWh_per_person,cooling_correlation_kWh_per_kWh,lighting_logistic_peak_kWh,weekend_multiplier,lighting_logistic_k,lighting_logistic_start_time_h,lighting_logistic_end_time_h,RSS_10_mean,NMBE_10_mean,CV(RMSE)_10_mean
B1003,79.95662452773365,0.04401644154371996,0.12077773383226567,151.1434848329885,0.7339374566953047,1.93930484171521,6.958403918259742,20.31907514165678,6758202.29145802,0.002140061769891447,0.3103829773239114
B1005,107.81118649604164,0.2952078991663755,0.01690830003713674,5.404262846016113,0.896815460766152,9.809165480830705,7.553764419743189,16.000000000000004,5118303.049554338,0.0005654176442633832,0.17982473054078882
B1008,99.82658417648977,0.08448447415438984,0.6064443818588123,155.36287956183432,0.21604837835137156,5.011389576370718,6.335112061849043,22.999999999999993,4749352.29659955,-0.00019294956057287492,0.08430634666676548
B1016,46.830211300203025,0.07011611446413331,0.03526022228884096,9.172038549723652,0.9222554970970537,1.901208078258581,9.104709923871923,22.30741617044983,658185.2329485582,6.784150732282081e-05,0.1213084792808274
B1026,127.05606964079094,0.16272320085229658,0.04315480203189491,78.84459619740267,0.3911044832745834,2.5809093745597087,7.344825088013169,22.153275442859798,5384815.627807984,-0.00044691030440340007,0.13861387959630803
B1047,752.370287053322,0.2569628953391641,0.14595244824003312,34.511224180781504,0.999837840093025,724.6587705649554,5.879911875847834,22.34587241717515,14996342.468598139,0.00013161516446005112,0.04532564943439753
B1050,322.48153155932033,0.7394304334617685,5.149710421435833e-14,62.87775514155985,4.8872188033362843e-26,0.0007310030882467791,4.033937820898579,19.03533122697615,90650516.29028273,0.0005926383305521262,0.2970492119841796
B1052,173.55045531923466,0.11582326662151625,0.01867578109034783,55.640518275334415,0.6399522504986884,1.7984359751389858,7.248381242003378,21.993282856679947,1317317.3971931622,0.0003124573325372978,0.06302134745965879
B1053,202.33788544687175,0.19754195688755785,0.07397189472715028,65.64790969632735,0.7197269489509055,0.7227496466309087,8.622046785222112,19.27084053687376,8818971.99395677,-0.0006806673107296214,0.11621839465931068
B1055,773.9411666929988,0.8332172580335144,0.1289363597020344,8.27795372407209e-09,5.50500389092988e-27,280.2207451846701,4.000000000000001,22.999999999999996,55022769.51470647,-0.0006016295050136152,0.09300190131011055
B1058,66.7981030313258,0.11535422667870648,48.69006643480695,22.853230390930303,0.6704415494946182,0.41396925546785407,10.99999999743409,16.687020137473397,284703.0977100222,0.0012151076696963027,0.16345368012554246
B1063,107.81680396609218,0.15734088755814138,0.13296189681078172,26.39375303304098,0.5603157238389133,13.851357602467948,7.986989884183761,22.04023017597723,3362810.727153615,-4.830820619092204e-05,0.12737310289485723
B1064,50.23088225439481,0.32747109029373234,0.031819690362130434,48.14341850134422,0.38362434857734673,1.1459881427910588,6.864631088395919,18.613544275422,497796.29525263666,-0.0006929449807397084,0.21944361724177802
B1081,19.79071428228559,0.17856716450907067,0.09785957324599147,28.60926018495279,0.9999999999999969,0.7408570171144252,7.975038665549099,18.632583987473954,1038883.3230401898,-0.0009875585457026922,0.22794237159245143
B1087,84.02625855753847,0.049792582640308766,0.10630503536831383,45.52248450782075,0.978599492851952,0.9124407220198881,7.240920218949332,18.692732086983092,1528148.0005172011,-0.0008386365071711696,0.0837146793015289
B1099,324.09238265212,0.27652145450725324,0.08241808747714015,25.937054705559405,0.4787880574220296,1.1564708595047863,7.58097837723689,21.54545733409591,11167759.6528563,-6.576772787596668e-05,0.10237769411421918
B1102,439.58514418763906,0.1200574706357429,0.038942969561342924,73.76559533291498,0.4080450189416382,0.8511418606371909,7.956718883955392,20.881902596766274,3015474.550180855,0.00013749301662618606,0.03808890074426138
B1103,97.78680916681002,6.12919041625008e-17,0.3001877876714176,7.4590562827477305,0.47780943727635,1.6537004743004473,4.993767659631069,19.090273785901918,784147.8680403512,4.8248836587599105e-05,0.09357327671012117
B1104,193.9904598979656,0.1215351828573796,0.09274179179392664,18.745139041865492,0.4614206324668398,0.8044111441201972,6.007525444267788,19.02504571494551,965338.3223781328,0.0001665347353351236,0.04632619982347596
B1105,142.85112617328184,0.11524481854113179,1.973951172521651e-15,11.697181723149075,0.9140494056793219,28.735778264079087,8.97737793637998,21.01828866188112,304392.25258945895,5.77302341660572e-05,0.04038064620903683
B1107,64.41221030660401,0.08529783914318965,0.033922844106771606,21.092394170917466,0.9839034253913896,1.3007427802977138,8.405423458919492,18.596879684463815,788191.9226141906,0.0003537548876042601,0.12991483143907806
B1108,4.196793751200592,0.05765173380552349,0.04465161950506294,3.8781041753776417,0.9688251830083036,1.622435408812949,7.316140275107466,19.4504235447773,10584.480711004715,0.0015969738351808947,0.15827124542704687
B1109,273.25525623840383,0.08646683385175202,0.034672081013303394,99.40628015457708,0.5550177092086425,1.2274015137555865,7.327689121760926,18.179361110749745,7605133.3653686065,0.00020905321185892486,0.09213630916942768
B1114,130.14954933709961,0.07549941876960795,2.608879946674927e-14,168.19397721688603,0.7337060996118036,1.0042770270683201,6.332648816155345,19.232038316775704,24265874.70208249,-0.0002913581199075682,0.2597652107229575
