,QC_sys_kWh,E_sys_kWh,QC_winning,E_winning,Qcs_sys_kWh,Qcs_winning,Qcs_base_load
B1103,0.5222214755201061,0.009427015509873,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS9-TIGHTNESS_AS4-0.79-1.0-28-28,0.3577437509022273
B1053,0.1743419709114082,0.0418665893868639,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.49-1.0-20-24,119.15291423678433
B1052,0.0472218683602337,0.0505334871761469,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-22,111.85992166156768
B1063,0.0018426593531485,0.0563513443588204,WINDOW_AS10-TIGHTNESS_AS2-0.79-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.79-1.0-28-OFF,4.992618598947556
B1087,0.0012307571249754,0.1006952766625695,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-24,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.59-1.0-20-20,49.91517139739293
B1099,0.1073550223893322,0.0190406101441921,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-18-22,240.70583377813813
B1055,0.2237793157310705,0.0129237453708693,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.29-1.0-28-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.89-1.0-18-24,215.70128525515355
B1064,5.144108628799117e-05,0.0521408433557945,WINDOW_AS8-TIGHTNESS_AS3-0.69-1.0-26-OFF,WINDOW_AS8-TIGHTNESS_AS4-0.59-1.0-29-OFF,0.0,WINDOW_AS8-TIGHTNESS_AS2-0.29-1.0-20-20,107.7527519873052
B1108,0.5314061687176234,0.1620778094451704,WINDOW_AS10-TIGHTNESS_AS2-0.69-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS3-0.69-1.0-28-OFF,2.6395342443239604e-19,WINDOW_AS9-TIGHTNESS_AS2-0.69-1.0-28-28,6.6990778325083165
B1047,0.0012202326453148,0.0140840198970687,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS4-0.49-1.0-29-OFF,4.8591139261157305e-19,WINDOW_AS8-TIGHTNESS_AS3-0.49-1.0-24-26,1465.810173039544
B1081,0.0472776763245243,0.1122487087206208,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-29-OFF,3.9339810615167076e-17,WINDOW_AS10-TIGHTNESS_AS2-0.49-1.0-29-OFF,7.912771179559805
B1286,0.1347447568161597,0.1225195505237312,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-29-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-29-OFF,0.0295662489940041,WINDOW_AS10-TIGHTNESS_AS2-0.59-1.0-29-OFF,0.0
B1008,2.02156909829502,0.0936276293932961,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-29-29,1.8703285413949928,WINDOW_AS10-TIGHTNESS_AS2-0.29-1.0-28-OFF,0.0
